date_time,ms,thermocouple_index,thermocouple_temp
2015-07-29 21:25:38,623,0.0633990764618,0,320.402000
2015-07-29 21:25:38,624,0.063894033432,1,426.071000
2015-07-29 21:25:38,624,0.0640640258789,2,861.413000
2015-07-29 21:25:38,624,0.0645561218262,3,863.342000
2015-07-29 21:25:39,775,1.21503615379,0,320.628600
2015-07-29 21:25:40,127,1.56705904007,1,426.313600
2015-07-29 21:25:41,887,3.32704401016,1,426.087000
2015-07-29 21:25:42,015,3.45499610901,1,425.860600
2015-07-29 21:25:42,111,3.55090808868,1,425.617600
2015-07-29 21:25:42,175,3.61465811729,1,425.391000
2015-07-29 21:25:42,239,3.67893910408,1,425.164600
2015-07-29 21:25:42,303,3.7428150177,1,424.894000
2015-07-29 21:25:42,367,3.80678200722,1,424.667600
2015-07-29 21:25:42,431,3.87078404427,1,424.441000
2015-07-29 21:25:42,495,3.93485307693,1,424.214600
2015-07-29 21:25:42,527,3.96697807312,0,320.858800
2015-07-29 21:25:42,591,4.03088307381,1,423.808200
2015-07-29 21:25:42,656,4.09548306465,1,423.506200
2015-07-29 21:25:42,718,4.15859913826,1,423.203600
2015-07-29 21:25:42,782,4.22264504433,1,422.838600
2015-07-29 21:25:42,847,4.28682518005,1,422.536000
2015-07-29 21:25:42,911,4.35065817833,1,422.234000
2015-07-29 21:25:42,943,4.38277721405,1,422.007600
2015-07-29 21:25:42,975,4.41478204727,1,421.780600
2015-07-29 21:25:43,039,4.47892522812,1,421.359400
2015-07-29 21:25:43,103,4.54273319244,1,421.057000
2015-07-29 21:25:43,135,4.57497501373,1,420.830400
2015-07-29 21:25:43,199,4.6386590004,1,420.528400
2015-07-29 21:25:43,231,4.67083120346,1,420.301600
2015-07-29 21:25:43,295,4.73485612869,1,419.892000
2015-07-29 21:25:43,359,4.79865813255,1,419.514000
2015-07-29 21:25:43,391,4.83075809479,1,419.287600
2015-07-29 21:25:43,423,4.86268019676,1,419.061000
2015-07-29 21:25:43,454,4.89457511902,1,418.758600
2015-07-29 21:25:43,519,4.95889902115,1,418.535400
2015-07-29 21:25:43,551,4.99084711075,1,418.308800
2015-07-29 21:25:43,615,5.05485200882,1,417.930800
2015-07-29 21:25:43,679,5.11867213249,1,417.553400
