2018-04-11 17:12:08,856,coffee,datetime,ms,seconds,ambient_temp,thermocouple_0_temp,thermocouple_1_temp,thermocouple_2_temp,thermocouple_3_temp
2018-04-11 17:12:10,925,2,80,498,423,782,784
2018-04-11 17:12:11,927,3,80,492,418,782,784
2018-04-11 17:12:12,929,4,80,483,413,782,784
2018-04-11 17:12:13,935,5,80,474,409,782,784
2018-04-11 17:12:14,936,6,80,463,404,782,784
2018-04-11 17:12:15,940,7,80,453,398,782,784
2018-04-11 17:12:16,941,8,80,443,393,782,784
2018-04-11 17:12:17,945,9,80,433,389,782,784
2018-04-11 17:12:18,948,10,80,424,387,782,784
2018-04-11 17:12:19,950,11,80,414,386,782,784
2018-04-11 17:12:20,956,12,80,405,384,782,784
2018-04-11 17:12:21,956,13,80,397,382,782,784
2018-04-11 17:12:22,959,14,80,389,381,782,784
2018-04-11 17:12:23,963,15,80,381,380,782,784
2018-04-11 17:12:24,966,16,80,374,379,782,784
2018-04-11 17:12:25,971,17,80,367,377,782,784
2018-04-11 17:12:26,973,18,80,360,376,782,784
2018-04-11 17:12:27,978,19,80,353,375,782,784
2018-04-11 17:12:28,978,20,80,347,373,782,784
2018-04-11 17:12:29,984,21,80,341,373,782,784
2018-04-11 17:12:30,989,22,80,336,372,782,784
2018-04-11 17:12:31,993,23,80,330,371,782,784
2018-04-11 17:12:32,998,24,80,325,370,782,784
2018-04-11 17:12:34,002,25,80,320,369,782,784
2018-04-11 17:12:35,007,26,80,315,368,782,784
2018-04-11 17:12:36,011,27,80,310,367,782,784
2018-04-11 17:12:37,014,28,80,305,367,782,784
2018-04-11 17:12:38,018,29,80,301,366,782,784
2018-04-11 17:12:39,022,30,80,297,365,782,784
2018-04-11 17:12:40,028,31,80,293,365,782,784
2018-04-11 17:12:41,032,32,80,289,364,782,784
2018-04-11 17:12:42,037,33,80,286,364,782,784
2018-04-11 17:12:43,041,34,80,283,363,782,784
2018-04-11 17:12:44,043,35,80,279,363,782,784
2018-04-11 17:12:45,046,36,80,276,362,782,784
2018-04-11 17:12:46,050,37,80,273,362,782,784
2018-04-11 17:12:47,054,38,80,270,362,782,784
2018-04-11 17:12:48,057,39,80,267,361,782,784
2018-04-11 17:12:49,063,40,80,264,361,782,784
