time,ambient_temp,thermocouple_0_temp,thermocouple_1_temp,thermocouple_2_temp,thermocouple_3_temp
5,90,368,340,781,782
6,90,368,339,781,782
7,90,368,339,781,782
8,90,368,339,781,782
9,90,367,338,781,782
10,90,367,338,781,782
11,90,367,338,781,782
12,90,367,338,781,782
13,90,367,337,781,782
14,90,367,337,781,782
15,90,367,337,781,782
16,90,367,337,781,782
17,90,366,336,781,782
18,90,366,336,781,782
19,90,366,336,781,782
20,90,366,336,781,782
21,90,366,336,781,782
22,90,366,335,781,782
23,90,366,335,781,782
24,90,366,335,781,782
25,90,366,335,781,782
26,90,365,335,781,782
27,90,365,334,781,782
28,90,365,334,781,782
29,90,365,334,781,782
30,90,365,334,781,782
31,90,365,334,781,782
32,90,365,333,781,782
33,90,365,333,781,782
34,90,365,333,781,782
35,90,365,333,781,782
36,90,364,333,781,782
37,90,364,332,781,782
38,90,364,332,781,782
39,90,364,332,781,782
40,90,364,332,781,782
41,90,364,332,781,782
42,90,363,332,781,782
43,90,363,331,781,782
44,90,363,331,781,782
45,90,363,331,781,782
46,90,363,331,781,782
47,90,363,330,781,782
48,90,363,330,781,782
49,90,363,330,781,782
50,90,363,330,781,782
51,90,362,330,781,782
52,90,362,330,781,782
53,90,362,329,781,782
54,90,362,329,781,782
55,90,362,329,781,782
56,90,362,329,781,782
57,90,361,328,781,782
58,90,361,328,781,782
59,90,361,328,781,782
60,90,361,328,781,782
61,90,361,328,781,782
62,90,361,328,781,782
63,90,361,327,781,782
64,90,360,327,781,782
65,90,360,327,781,782
66,90,360,327,781,782
67,90,360,327,781,782
68,90,360,326,781,782
69,90,360,326,781,782
70,90,360,326,781,782
71,90,360,326,781,782
72,90,359,326,781,782
73,90,359,325,781,782
74,90,359,325,781,782
75,90,359,325,781,782
76,90,359,325,781,782
77,90,359,325,781,782
78,90,358,324,781,782
79,90,358,324,781,782
80,90,358,324,781,782
81,90,358,323,781,782
82,90,358,323,781,782
83,90,358,323,781,782
84,90,358,323,781,782
85,90,357,323,781,782
86,90,357,323,781,782
87,90,357,322,781,782
88,90,357,322,781,782
89,90,357,322,781,782
90,90,357,322,781,782
91,90,356,321,781,782
92,90,356,321,781,782
93,90,356,321,781,782
94,90,356,321,781,782
95,90,356,321,781,782
96,90,356,320,781,782
97,90,355,320,781,782
98,90,355,320,781,782
99,90,355,320,781,782
100,90,355,319,781,782
101,90,355,319,781,782
102,90,355,319,781,782
103,90,355,319,781,782
104,90,354,319,781,782
105,90,354,319,781,782
106,90,354,318,781,782
107,90,354,318,781,782
108,90,354,318,781,782
109,90,354,318,781,782
110,90,354,318,781,782
111,90,354,317,781,782
112,90,353,317,781,782
113,90,353,317,781,782
114,90,353,317,781,782
115,90,353,317,781,782
116,90,353,316,781,782
117,90,353,316,781,782
118,90,352,316,781,782
119,90,352,316,781,782
120,90,352,315,781,782
121,90,352,315,781,782
122,90,352,315,781,782
123,90,352,315,781,782
124,90,352,315,781,782
125,90,351,314,781,782
126,90,351,314,781,782
127,90,351,314,781,782
128,90,351,314,781,782
129,90,351,314,781,782
130,90,351,313,781,782
